评估方案,三分类准确率 (Acc-3),三分类宏 F1 (Macro-F1),二分类基准准确率 (Acc-2),二分类加权 F1 (F1-2),平均绝对误差 (MAE),皮尔逊相关系数 (Pearson r)
"最优单模型验证集指标 (Best Single Model, Validation)",63.19%,59.91%,79.40%,79.51%,0.6096,0.6301
3-Seed 概率集成 Argmax (Final Locked Strategy),64.65%,60.83%,79.23%,79.92%,0.636,0.6646
