评估方案,三分类准确率 (Acc-3),三分类宏 F1 (Macro-F1),二分类基准准确率 (Acc-2),二分类加权 F1 (F1-2),平均绝对误差 (MAE),皮尔逊相关系数 (Pearson r)
"最优单模型验证集指标 (Best Single Model, Validation)",63.60%,60.88%,80.36%,80.51%,0.6056,0.6385
3-Seed 加权集成与序数校准 (Ensemble Calibrated + BUDT),64.65%,61.14%,81.29%,81.56%,0.6346,0.663
