评估方案,三分类准确率 (Acc-3),三分类宏 F1 (Macro-F1),二分类基准准确率 (Acc-2),二分类加权 F1 (F1-2),平均绝对误差 (MAE),皮尔逊相关系数 (Pearson r)
"最优单模型验证集指标 (Best Single Model, Validation)",63.32%,59.59%,78.30%,78.82%,0.6011,0.6251
3-Seed 概率集成 Argmax (Final Locked Strategy),67.95%,60.96%,81.57%,82.01%,0.6284,0.6709
