评估方案,三分类准确率 (Acc-3),三分类宏 F1 (Macro-F1),二分类基准准确率 (Acc-2),二分类加权 F1 (F1-2),平均绝对误差 (MAE),皮尔逊相关系数 (Pearson r)
"最优单模型验证集指标 (Best Single Model, Validation)",62.64%,60.53%,74.59%,75.67%,0.6026,0.6263
3-Seed 概率集成 Argmax (Final Locked Strategy),65.75%,60.93%,80.06%,80.51%,0.6428,0.6541
