评估方案,三分类准确率 (Acc-3),三分类宏 F1 (Macro-F1),二分类基准准确率 (Acc-2),二分类加权 F1 (F1-2),平均绝对误差 (MAE),皮尔逊相关系数 (Pearson r)
"最优单模型验证集指标 (Best Single Model, Validation)",63.19%,61.83%,76.65%,77.50%,0.625,0.6197
3-Seed 概率集成 Argmax (Final Locked Strategy),67.54%,59.33%,78.68%,79.40%,0.6344,0.6675
